date,close,asset,ticker_used
2023-12-07,69.33999633789062,crude,CL=F
2023-12-08,71.2300033569336,crude,CL=F
2023-12-11,71.31999969482422,crude,CL=F
2023-12-12,68.61000061035156,crude,CL=F
2023-12-13,69.47000122070312,crude,CL=F
2023-12-14,71.58000183105469,crude,CL=F
2023-12-15,71.43000030517578,crude,CL=F
2023-12-18,72.47000122070312,crude,CL=F
2023-12-19,73.44000244140625,crude,CL=F
2023-12-20,74.22000122070312,crude,CL=F
2023-12-21,73.88999938964844,crude,CL=F
2023-12-22,73.55999755859375,crude,CL=F
2023-12-26,75.56999969482422,crude,CL=F
2023-12-27,74.11000061035156,crude,CL=F
2023-12-28,71.7699966430664,crude,CL=F
2023-12-29,71.6500015258789,crude,CL=F
2024-01-02,70.37999725341797,crude,CL=F
2024-01-03,72.69999694824219,crude,CL=F
2024-01-04,72.19000244140625,crude,CL=F
